Timestamp,gender,age_range,marital_status,education_level,employment_status,main_telecom,social_media_accounts,challenges_in_cs,best_social_media_for_cs,chatbot_acceptance,main_telecom_cs_csat,rating_of_national_cs,need_for_cs_website,need_for_cs_mobile_app,need_for_cs_live_chat,need_for_cs_video_and_screen_sharing,need_for_cs_multilingual,need_for_cs_image_sharing,need_for_cs_self_help_repos,need_for_cs_recommended_solutions,need_for_cs_ticket_status_display,need_for_cs_scheduled_support,need_for_agents_rate_and_review,need_for_cs_discussion_forums,most_important_factor_in_cs,necessity_of_cs_dedicated_platform
18/08/2022 18:14:07,Male,20 years - 35 years,Single,Undergraduate,Student,MTN,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",WhatsApp,3,3,4,essential,not essential,not essential,essential,not essential,very essential,not essential,essential,I am not sure,not essential,very essential,not essential,How easy it is for me to have my issue sorted.,Very necessary
18/08/2022 18:14:53,Male,20 years - 35 years,Single,Undergraduate,Employed on a salary,AIRTEL,"WhatsApp, Twitter, Facebook","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night.",Email,3,3,3,very essential,not essential,essential,not essential,I am not sure,not essential,not essential,I am not sure,not essential,not essential,not essential,I am not sure,Speed at which my issue is sorted.,I am not sure
18/08/2022 18:18:17,Female,20 years - 35 years,Single,Undergraduate,Student,MTN,WhatsApp,"Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents over the weekends.",WhatsApp,2,3,2,essential,essential,essential,essential,essential,essential,essential,essential,essential,essential,essential,essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 18:20:39,Male,20 years - 35 years,Single,Undergraduate,Employed on a salary,AIRTEL,"Email, WhatsApp, Twitter, Facebook","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",Twitter,5,3,2,not essential,very essential,very essential,very essential,very essential,very essential,essential,very essential,very essential,very essential,very essential,very essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 18:22:34,Male,20 years - 35 years,Single,Undergraduate,"Unemployed, looking for work",AIRTEL,"Email, WhatsApp, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents over the weekends.",Email,1,3,3,I am not sure,essential,essential,essential,essential,essential,essential,essential,essential,I am not sure,essential,essential,How easy it is for me to have my issue sorted.,Very necessary
18/08/2022 18:23:48,Male,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,"Email, WhatsApp, Twitter, Facebook","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night.",WhatsApp,4,3,3,not essential,essential,essential,not essential,very essential,essential,very essential,very essential,very essential,not essential,very essential,very essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 18:24:51,Female,20 years - 35 years,Single,Undergraduate,Self employed,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",WhatsApp,4,3,3,essential,essential,essential,not essential,very essential,not essential,very essential,not essential,very essential,essential,essential,very essential,Ability to have my issue sorted on my own (without having to talk to an agent or someone),I am not sure
18/08/2022 18:25:18,Male,20 years - 35 years,Single,Undergraduate,Self employed,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",Email,2,3,3,not essential,not essential,very essential,very essential,very essential,essential,essential,very essential,very essential,very essential,essential,essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 18:25:22,Male,20 years - 35 years,Single,Undergraduate,Self employed,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",WhatsApp,1,4,4,not essential,very essential,very essential,not essential,essential,not essential,not essential,very essential,essential,not essential,not essential,not essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 18:37:54,Male,20 years - 35 years,Single,Undergraduate,Student,MTN,"Email, WhatsApp, Twitter, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night.",Twitter,4,5,4,not essential,I am not sure,essential,very essential,not essential,very essential,essential,essential,very essential,essential,essential,very essential,Ability to have my issue sorted on my own (without having to talk to an agent or someone),Very necessary
18/08/2022 18:39:01,Male,20 years - 35 years,Single,Undergraduate,Student,MTN,"Email, WhatsApp, Twitter, Facebook, Telegram","No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night., No/low availability of customer support agents over the weekends.",Email,3,4,4,very essential,very essential,very essential,not essential,very essential,very essential,very essential,very essential,very essential,essential,not essential,not essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 18:45:23,Male,20 years - 35 years,Single,Undergraduate,Self employed,MTN,"Email, WhatsApp, Twitter, Facebook, Telegram","No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night., No/low availability of customer support agents over the weekends.",Twitter,4,2,2,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 18:45:46,Male,20 years - 35 years,Single,Undergraduate,Employed on a salary,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",Twitter,3,4,2,very essential,very essential,essential,not essential,very essential,essential,not essential,not essential,essential,essential,essential,not essential,Ability to have my issue sorted on my own (without having to talk to an agent or someone),Very necessary
18/08/2022 18:46:53,Female,20 years - 35 years,Single,Undergraduate,Student,Lyca Mobile,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., Connected to an agent with low technical knowledge needed to handle my issue., No/low availability of customer support agents over the weekends.",Twitter,2,3,3,essential,very essential,very essential,not essential,essential,essential,essential,essential,essential,essential,essential,essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 19:05:22,Male,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/low availability of customer support agents late in the night., No/low availability of customer support agents over the weekends.",Telegram,4,4,3,very essential,essential,very essential,not essential,very essential,essential,very essential,very essential,essential,not essential,not essential,essential,Ability to have my issue sorted on my own (without having to talk to an agent or someone),Very necessary
18/08/2022 19:10:28,Female,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,Email,"Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night.",WhatsApp,2,3,3,essential,very essential,essential,not essential,very essential,essential,very essential,essential,essential,not essential,very essential,essential,Ability to have my issue sorted on my own (without having to talk to an agent or someone),Very necessary
18/08/2022 19:21:30,Female,20 years - 35 years,Single,Undergraduate,Student,MTN,Email,"Many steps have to be followed to talk to a customer care agent., Connected to an agent with low technical knowledge needed to handle my issue., No/low availability of customer support agents over the weekends.",WhatsApp,3,2,1,not essential,I am not sure,not essential,not essential,very essential,not essential,essential,very essential,very essential,essential,very essential,very essential,Speed at which my issue is sorted.,I am not sure
18/08/2022 19:35:04,Female,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/low availability of customer support agents late in the night., No/low availability of customer support agents over the weekends.",WhatsApp,3,3,3,very essential,very essential,not essential,not essential,very essential,I am not sure,essential,essential,essential,not essential,essential,not essential,Speed at which my issue is sorted.,I am not sure
18/08/2022 19:43:33,Male,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,"Email, WhatsApp, Twitter, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night.",Email,3,4,3,essential,essential,essential,essential,essential,essential,essential,essential,essential,essential,not essential,essential,How easy it is for me to have my issue sorted.,Very necessary
18/08/2022 19:45:01,Male,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,"Email, WhatsApp, Twitter, Facebook","Many steps have to be followed to talk to a customer care agent., No/low availability of customer support agents late in the night., No/low availability of customer support agents over the weekends.",Email,2,3,2,very essential,very essential,essential,I am not sure,very essential,very essential,not essential,essential,very essential,very essential,very essential,essential,How easy it is for me to have my issue sorted.,I am not sure
18/08/2022 19:47:37,Male,20 years - 35 years,Single,Undergraduate,Student,MTN,"Email, WhatsApp, Twitter, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents over the weekends.",WhatsApp,5,5,3,essential,essential,very essential,essential,very essential,very essential,very essential,very essential,essential,very essential,essential,essential,How easy it is for me to have my issue sorted.,Very necessary
18/08/2022 19:50:02,Male,20 years - 35 years,Single,Undergraduate,Employed on a salary,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., Connected to an agent with low technical knowledge needed to handle my issue., No/low availability of customer support agents late in the night.",WhatsApp,3,4,4,not essential,not essential,essential,essential,very essential,essential,essential,essential,essential,I am not sure,essential,I am not sure,Speed at which my issue is sorted.,Very necessary
18/08/2022 19:56:31,Female,20 years - 35 years,Single,Undergraduate,Employed on a salary,MTN,"Email, WhatsApp, Twitter, Facebook","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night.",Email,4,3,3,essential,very essential,very essential,very essential,not essential,essential,very essential,very essential,very essential,I am not sure,very essential,very essential,Ability to have my issue sorted on my own (without having to talk to an agent or someone),Very necessary
18/08/2022 19:57:50,Male,20 years - 35 years,Single,Secondary school,Student,AIRTEL,"Email, WhatsApp, Twitter, Telegram","Many steps have to be followed to talk to a customer care agent., No/low availability of customer support agents late in the night., No/low availability of customer support agents over the weekends.",Twitter,4,5,3,not essential,not essential,essential,essential,not essential,essential,not essential,essential,essential,not essential,essential,not essential,Speed at which my issue is sorted.,I am not sure
18/08/2022 19:58:44,Male,20 years - 35 years,Single,Undergraduate,Self employed,AIRTEL,Email,"Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",WhatsApp,3,2,3,essential,very essential,very essential,very essential,very essential,not essential,very essential,very essential,very essential,essential,not essential,not essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 20:04:15,Male,20 years - 35 years,Single,Undergraduate,Employed on a salary,AIRTEL,"Email, WhatsApp","Many steps have to be followed to talk to a customer care agent., Connected to an agent with low technical knowledge needed to handle my issue., No/low availability of customer support agents late in the night.",WhatsApp,2,4,3,essential,essential,essential,not essential,very essential,not essential,not essential,essential,not essential,not essential,not essential,not essential,How easy it is for me to have my issue sorted.,I am not sure
18/08/2022 20:04:40,Male,20 years - 35 years,Single,Undergraduate,Student,MTN,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",WhatsApp,3,2,2,very essential,very essential,very essential,essential,not essential,essential,essential,very essential,very essential,essential,essential,very essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 20:05:53,Female,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,WhatsApp,"Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents over the weekends.",Email,3,2,2,essential,very essential,very essential,very essential,essential,very essential,essential,essential,very essential,I am not sure,essential,essential,How easy it is for me to have my issue sorted.,I am not sure
18/08/2022 20:10:50,Male,below 19 years,Single,Secondary school,Student,AIRTEL,"Email, WhatsApp, Twitter, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents over the weekends.",WhatsApp,1,4,3,not essential,not essential,very essential,very essential,very essential,essential,essential,very essential,very essential,essential,very essential,very essential,How easy it is for me to have my issue sorted.,I am not sure
18/08/2022 20:12:51,Female,above 45 years,Married,Vocational college,Retired,MTN,WhatsApp,"Many steps have to be followed to talk to a customer care agent., Connected to an agent with low technical knowledge needed to handle my issue., No/low availability of customer support agents over the weekends.",Email,1,2,2,essential,essential,very essential,I am not sure,very essential,I am not sure,not essential,essential,essential,essential,essential,essential,Speed at which my issue is sorted.,I am not sure
18/08/2022 20:23:43,Male,20 years - 35 years,Single,Post graduate and above,Self employed,MTN,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",WhatsApp,1,2,2,essential,very essential,very essential,not essential,very essential,very essential,very essential,essential,essential,essential,very essential,not essential,How easy it is for me to have my issue sorted.,Very necessary
18/08/2022 20:28:50,Male,20 years - 35 years,Single,Undergraduate,Student,MTN,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night.",Twitter,2,3,1,essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,essential,essential,essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 20:33:37,Male,20 years - 35 years,Single,Undergraduate,Student,MTN,"Email, WhatsApp, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., Connected to an agent with low technical knowledge needed to handle my issue.",WhatsApp,4,2,2,essential,essential,very essential,essential,very essential,very essential,very essential,very essential,very essential,not essential,very essential,very essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 21:12:35,Female,20 years - 35 years,Cohabiting,Undergraduate,Employed on a salary,AIRTEL,"Email, WhatsApp, Facebook","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night.",Facebook,2,3,3,essential,essential,not essential,not essential,very essential,not essential,I am not sure,very essential,very essential,not essential,very essential,not essential,How easy it is for me to have my issue sorted.,Very necessary
18/08/2022 21:18:43,Male,20 years - 35 years,Single,Undergraduate,Student,MTN,"Email, WhatsApp, Twitter","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",Email,4,4,3,essential,essential,not essential,not essential,very essential,not essential,essential,essential,very essential,very essential,essential,very essential,How easy it is for me to have my issue sorted.,I am not sure
18/08/2022 21:25:29,Male,20 years - 35 years,Single,Undergraduate,Employed on a salary,AIRTEL,WhatsApp,"Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",Email,2,3,4,not essential,essential,very essential,not essential,very essential,essential,essential,very essential,essential,I am not sure,not essential,essential,How easy it is for me to have my issue sorted.,Very necessary
18/08/2022 21:29:08,Male,20 years - 35 years,Cohabiting,Undergraduate,Student,MTN,"Email, WhatsApp, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents over the weekends.",Twitter,3,4,4,not essential,essential,very essential,very essential,very essential,very essential,very essential,very essential,essential,essential,very essential,very essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 21:41:59,Male,20 years - 35 years,Single,Undergraduate,Employed on a salary,MTN,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night.",Twitter,3,3,3,essential,essential,very essential,not essential,essential,very essential,essential,essential,very essential,essential,very essential,not essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 21:43:57,Female,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,"Email, WhatsApp, Twitter, Facebook","No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night.",WhatsApp,3,1,3,very essential,very essential,very essential,very essential,very essential,essential,very essential,very essential,essential,essential,very essential,essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 21:45:50,Male,20 years - 35 years,Single,Secondary school,Self employed,AIRTEL,"Email, WhatsApp, Facebook","Connected to an agent with low technical knowledge needed to handle my issue., No/low availability of customer support agents late in the night., No/low availability of customer support agents over the weekends.",WhatsApp,2,3,4,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,Ability to have my issue sorted on my own (without having to talk to an agent or someone),Not necessary at all
18/08/2022 21:46:53,Male,20 years - 35 years,Single,Undergraduate,Employed on a salary,MTN,"Email, WhatsApp, Twitter, Facebook","Many steps have to be followed to talk to a customer care agent., Connected to an agent with low technical knowledge needed to handle my issue., No/low availability of customer support agents late in the night.",Email,3,3,3,essential,very essential,not essential,very essential,very essential,very essential,essential,very essential,not essential,very essential,very essential,very essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 21:47:19,Male,20 years - 35 years,Single,Undergraduate,Self employed,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., Connected to an agent with low technical knowledge needed to handle my issue.",Email,3,3,3,very essential,essential,essential,very essential,very essential,very essential,essential,very essential,very essential,very essential,very essential,essential,How easy it is for me to have my issue sorted.,Very necessary
18/08/2022 21:47:28,Female,20 years - 35 years,Single,Secondary school,Student,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/low availability of customer support agents late in the night., No/low availability of customer support agents over the weekends.",WhatsApp,1,3,3,not essential,not essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,Ability to have my issue sorted on my own (without having to talk to an agent or someone),Very necessary
18/08/2022 21:54:47,Male,20 years - 35 years,Single,Undergraduate,Student,MTN,"Email, WhatsApp, Twitter, Telegram","Many steps have to be followed to talk to a customer care agent., No/low availability of customer support agents late in the night., No/low availability of customer support agents over the weekends.",Twitter,2,4,3,essential,not essential,very essential,essential,very essential,essential,essential,essential,essential,essential,essential,not essential,Speed at which my issue is sorted.,I am not sure
18/08/2022 22:02:35,Female,20 years - 35 years,Single,Post graduate and above,Volunteering ,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., Connected to an agent with low technical knowledge needed to handle my issue., No/low availability of customer support agents late in the night.",WhatsApp,3,3,3,not essential,very essential,essential,not essential,very essential,essential,essential,very essential,very essential,I am not sure,essential,I am not sure,Speed at which my issue is sorted.,Very necessary
18/08/2022 22:08:56,Male,20 years - 35 years,Single,Undergraduate,Employed on a salary,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night.",WhatsApp,3,3,3,not essential,essential,very essential,not essential,very essential,not essential,essential,very essential,very essential,essential,essential,essential,How easy it is for me to have my issue sorted.,I am not sure
18/08/2022 22:48:58,Female,20 years - 35 years,Single,Post graduate and above,Employed on a salary,MTN,WhatsApp,"Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",WhatsApp,3,2,2,very essential,very essential,very essential,not essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,not essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 22:53:52,Male,20 years - 35 years,Single,Undergraduate,Student,MTN,Telegram,"Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",WhatsApp,3,5,3,not essential,very essential,very essential,not essential,essential,essential,essential,very essential,very essential,not essential,very essential,very essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 23:00:56,Male,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,"Email, WhatsApp, Twitter, Facebook","Many steps have to be followed to talk to a customer care agent., No/low availability of customer support agents late in the night., No/low availability of customer support agents over the weekends.",Phone call ,3,5,2,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,essential,very essential,very essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 23:43:16,Male,20 years - 35 years,Single,Undergraduate,Student,MTN,Email,"Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night.",Twitter,3,3,3,very essential,very essential,very essential,essential,very essential,very essential,very essential,very essential,very essential,very essential,essential,very essential,How easy it is for me to have my issue sorted.,Very necessary
18/08/2022 23:48:41,Male,20 years - 35 years,Single,Secondary school,Student,MTN,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",Twitter,5,4,4,not essential,very essential,very essential,not essential,very essential,very essential,very essential,very essential,very essential,very essential,I am not sure,I am not sure,Ability to have my issue sorted on my own (without having to talk to an agent or someone),Very necessary
19/08/2022 00:17:49,Female,20 years - 35 years,Single,Undergraduate,Student,MTN,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",Email,1,4,3,very essential,essential,very essential,very essential,very essential,very essential,essential,very essential,very essential,essential,essential,very essential,Speed at which my issue is sorted.,Very necessary
19/08/2022 00:27:46,Female,20 years - 35 years,Married,Undergraduate,Self employed,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/low availability of customer support agents late in the night., No/low availability of customer support agents over the weekends.",WhatsApp,2,4,3,essential,very essential,very essential,not essential,very essential,essential,very essential,very essential,essential,essential,I am not sure,very essential,Ability to have my issue sorted on my own (without having to talk to an agent or someone),Very necessary
19/08/2022 02:49:08,Male,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,"Email, WhatsApp, Twitter","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night.",WhatsApp,5,5,4,very essential,essential,very essential,essential,very essential,very essential,very essential,very essential,very essential,I am not sure,not essential,essential,Speed at which my issue is sorted.,Very necessary
19/08/2022 03:49:56,Male,20 years - 35 years,Single,Undergraduate,Student,MTN,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night.",WhatsApp,3,2,3,essential,essential,essential,very essential,essential,essential,essential,essential,essential,essential,essential,essential,Speed at which my issue is sorted.,I am not sure
19/08/2022 06:40:35,Female,20 years - 35 years,Single,Undergraduate,Student & self employed ,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents over the weekends.",WhatsApp,3,2,4,not essential,essential,very essential,not essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,not essential,Speed at which my issue is sorted.,I am not sure
19/08/2022 07:01:45,Male,20 years - 35 years,Single,Secondary school,Student,MTN,"Email, WhatsApp, Twitter, Facebook","Many steps have to be followed to talk to a customer care agent., Connected to an agent with low technical knowledge needed to handle my issue., No/low availability of customer support agents late in the night.",WhatsApp,4,2,3,very essential,I am not sure,very essential,I am not sure,very essential,not essential,essential,not essential,essential,not essential,essential,essential,Speed at which my issue is sorted.,Very necessary
19/08/2022 07:29:45,Male,20 years - 35 years,Single,Undergraduate,"Unemployed, looking for work",MTN,Telegram,"Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",Email,1,3,3,essential,essential,essential,not essential,not essential,essential,not essential,essential,essential,not essential,not essential,essential,Speed at which my issue is sorted.,I am not sure
19/08/2022 07:44:10,Male,20 years - 35 years,Cohabiting,Undergraduate,Self employed,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/low availability of customer support agents late in the night., No/low availability of customer support agents over the weekends.",Twitter,5,3,2,very essential,very essential,essential,essential,essential,essential,essential,essential,essential,not essential,essential,essential,Speed at which my issue is sorted.,Very necessary
19/08/2022 07:48:17,Male,20 years - 35 years,Single,Secondary school,Self employed,MTN,"Email, WhatsApp, Twitter, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",Twitter,2,3,3,essential,essential,very essential,not essential,very essential,essential,very essential,very essential,essential,essential,essential,not essential,How easy it is for me to have my issue sorted.,Very necessary
19/08/2022 08:19:41,Male,20 years - 35 years,Single,Undergraduate,Confidential,MTN,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night.",WhatsApp,5,1,2,essential,not essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,Speed at which my issue is sorted.,Very necessary
19/08/2022 08:30:43,Male,20 years - 35 years,Single,Undergraduate,Employed on a salary,AIRTEL,"Email, WhatsApp, Twitter","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",WhatsApp,3,4,3,very essential,very essential,not essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,Speed at which my issue is sorted.,Very necessary
19/08/2022 08:52:53,Male,20 years - 35 years,Single,Undergraduate,Student,MTN,"Email, WhatsApp, Twitter, Facebook","Many steps have to be followed to talk to a customer care agent., No/low availability of customer support agents late in the night., No/low availability of customer support agents over the weekends.",WhatsApp,5,4,2,essential,essential,not essential,very essential,very essential,very essential,not essential,essential,very essential,very essential,very essential,very essential,Speed at which my issue is sorted.,Very necessary
19/08/2022 09:13:05,Male,20 years - 35 years,Single,Undergraduate,Student,MTN,"Email, WhatsApp, Twitter, Telegram","Connected to an agent with low technical knowledge needed to handle my issue., No/low availability of customer support agents late in the night., No/low availability of customer support agents over the weekends.",Email,3,4,3,essential,essential,essential,essential,very essential,very essential,very essential,very essential,essential,essential,essential,essential,How easy it is for me to have my issue sorted.,I am not sure
19/08/2022 09:55:50,Male,20 years - 35 years,Single,Secondary school,Student,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/low availability of customer support agents late in the night., No/low availability of customer support agents over the weekends.",WhatsApp,4,2,3,not essential,essential,very essential,not essential,very essential,very essential,very essential,very essential,very essential,essential,essential,essential,Speed at which my issue is sorted.,Very necessary
19/08/2022 10:21:13,Male,20 years - 35 years,Single,Secondary school,Student,MTN,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., Connected to an agent with low technical knowledge needed to handle my issue., No/low availability of customer support agents late in the night.",Twitter,2,3,2,not essential,very essential,very essential,very essential,very essential,not essential,very essential,essential,very essential,essential,very essential,not essential,Ability to have my issue sorted on my own (without having to talk to an agent or someone),Very necessary
19/08/2022 10:28:57,Male,20 years - 35 years,Single,Undergraduate,Student,MTN,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night.",Twitter,3,3,3,essential,not essential,not essential,I am not sure,very essential,I am not sure,very essential,very essential,very essential,essential,very essential,essential,Speed at which my issue is sorted.,I am not sure
19/08/2022 10:33:41,Male,20 years - 35 years,Single,Undergraduate,Student,MTN,"Email, WhatsApp, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., Connected to an agent with low technical knowledge needed to handle my issue., No/low availability of customer support agents over the weekends.",WhatsApp,4,4,4,essential,not essential,essential,essential,not essential,essential,not essential,essential,essential,essential,essential,not essential,Speed at which my issue is sorted.,I am not sure
